date,location,Zip Code,state,year,fatalities,injured,totalvictims,percfatal,venue,priorsignsofpossiblementalillnes,weaponsobtainedlegally,race,gender,age,legalgun,handguns,revolvers,shotguns,assaultguns,religious,school,workplace,poss_mental,minority,ar_ban,bradybill,depmed,offdepmed,med,reasonmed,onoroff,timeonmed,arrested,suicide,police,highcapacityclip,deathpenalty,statepermittopurchase,firearmregistration,assaultweaponlaw,ownerlicenserequired,concealedcarryweaponccwpermitsis,opencarry,nfaweaponsrestricted,peaceablejourneylaws,castledoctrinestandyourground,gunswithhighcapacitymagizines,assaultweaponsbydefinitionofnewl,Type
20151001,"Roseburg, OR",,OR,2015,9,9,18,0.5,School,Yes,Yes,white,Male,26,1,1,0,0,1,0,1,0,1,0,0,1,1,1,None,Depression,None,None,0,1,0,1,1,0,0,0,0,1,1,0,1,0,2,2,Mass
20150716,"Chattanooga, TN",,TN,2015,5,2,7,0.714285714,Military,Yes,Yes ,other,Male,24,1,1,0,0,2,0,0,1,1,1,0,1,1,1,None,Depression,None,None,0,0,1,1,1,0,0,0,0,1,1,0,0,1,3,1,Mass
20150617,"Charleston, SC",,SC,2015,9,1,10,0.9,Religious,No,Yes,white,Male,21,1,1,0,0,0,1,0,0,0,0,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,Mass
20141024,"Marysville, WA",,WA,2014,5,1,6,0.833333333,School,No,No,Native American,Male,15,0,1,0,0,0,0,1,0,1,1,0,1,1,1,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,Mass
20140220,"Alturas, CA",,CA,2014,4,2,6,0.666666667,Other,Yes,Yes,black,Female,44,1,2,0,0,0,1,0,0,1,1,1,1,1,1,None,Depression,None,None,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,Mass
20131217,"Reno, NV",,NV,2013,1,2,3,0.333333333,Work,Yes,No,white,male,51,0,2,0,0,1,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,Shooter
20131213,"Centennial, CO",,CO,2013,1,0,1,1,School,Yes,yes,white,male,18,1,0,0,0,1,0,1,0,1,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,Shooter
20131101,"Los Angeles, CA",,CA,2013,1,3,4,0.25,Work,No,yes,other,male,23,1,0,0,1,0,0,0,1,0,1,1,1,1,1,None,Depression,None,None,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Shooter
20131026,"Albuquerque, NM",,NM,2013,0,4,4,0,Work,No,yes,white,male,35,1,3,0,2,0,0,0,1,0,0,0,1,0,0,None,None,None,None,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Shooter
20131021,"Sparks, NV",,NV,2013,1,2,3,0.333333333,School,Yes,yes,other,male,12,1,1,0,0,0,0,1,0,1,1,0,1,0,0,None,None,None,None,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,Shooter
20130916,"Washington, D.C.",,DC,2013,13,8,21,0.619047619,Military,Yes,Yes,Latino,Male,34,1,1,0,1,0,0,0,1,1,1,1,1,1,1,None,Depression,None,None,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,Mass
20130824,"Lake Butler, FL",,FL,2013,2,2,4,0.5,Work,No,yes,white,male,72,1,0,0,1,1,0,0,1,0,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,Shooter
20130805,"Saylorsburg, PA",,PA,2013,3,2,5,0.6,Work,No,yes,other,male,59,1,1,0,1,0,0,0,1,0,1,0,1,1,1,None,Depression,None,None,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,Spree
20130726,"Hialeah, Florida",,FL,2013,7,0,7,1,Work,Yes,Yes,white,Male,42,1,1,0,0,0,0,0,0,0,0,0,1,0,0,None,None,None,None,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,Mass
20130621,"Greenville, NC",,NC,2013,0,4,4,0,Work,Yes,No,white,male,23,0,0,0,0,1,0,0,1,1,0,0,1,0,0,None,None,None,None,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,Shooter
20130607,"Santa Monica, California",,CA,2013,6,3,9,0.666666667,Work,Yes,Yes ,black ,Male,23,1,0,1,0,1,0,0,0,1,1,1,1,1,1,None,Depression,None,None,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,Spree
20130526,"Brady, TX",,TX,2013,2,5,7,0.285714286,Work,No,yes,other,male,23,1,1,0,1,0,0,0,1,0,1,0,1,0,0,None,None,None,None,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,Shooter
20130421,"Federal Way, Washington",,WA,2013,5,0,5,1,Work,No,Yes,white,Male,27,1,1,0,1,0,0,0,0,0,0,0,1,0,0,None,None,None,None,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,Mass
20130412,"Christiansburg, VA",,VA,2013,0,2,2,0,School,No,yes,other,male,22,1,0,0,0,1,0,1,0,0,1,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,Shooter
20130313,"Herkimer County, New York",,NY,2013,5,2,7,0.714285714,Other,No,Yes,white,Male,64,1,0,0,1,0,0,1,0,0,0,1,1,0,0,None,None,None,None,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,Spree
20130130,"Phoenix, AZ",,AZ,2013,2,1,3,0.666666667,Work,Yes,yes,white,male,70,1,1,0,0,0,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,Shooter
20130110,"Taft, CA",,CA,2013,0,2,2,0,School,Yes,yes,white,male,16,1,0,0,0,1,0,1,0,1,0,1,1,0,1,None,Depression,None,None,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,Shooter
20121221,"Frankstown Township, PA",,PA,2012,3,3,6,0.5,Work,Yes,yes,white,male,44,1,2,0,0,0,0,0,1,1,0,0,1,0,1,None,Depression,None,None,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,Spree
20121215,"Birmingham, AL",,AL,2012,0,3,3,0,Work,Yes,yes,white,male,38,1,1,0,0,0,0,0,1,1,0,0,1,0,0,None,None,None,None,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Shooter
20121214,"Newtown, Connecticut",,CT,2012,28,2,30,0.93330002,School,Yes,No,white,Male,20,0,2,0,1,1,0,1,0,0,0,1,1,0,0,None,None,None,None,0,1,0,1,0,1,0,1,0,1,1,1,0,1,3,2,Mass
20121211,"Happy Valley, OR",,OR,2012,2,1,3,0.666666667,Work,No,yes,white,male,22,1,0,0,1,0,0,0,1,0,0,0,1,0,1,None,Depression,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Shooter
20121106,"Fresno, CA",,CA,2012,2,2,4,0.5,Work,No,yes,other,male,42,1,1,0,0,0,0,0,1,0,1,1,1,0,1,None,Depression,None,None,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Shooter
20121021,"Brookfield, WI",,WI,2012,3,4,7,0.428571429,Work,Yes,yes,other,male,45,1,1,0,0,0,0,0,1,1,1,0,1,0,0,None,None,None,None,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Spree
20121018,"Casselberry, FL",,FL,2012,3,1,4,0.75,Work,No,yes,other,male,36,1,1,0,0,1,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Spree
20120927,"Minneapolis, Minnesota",,MN,2012,7,1,8,0.875,Work,Yes,Yes,white,Male,36,1,1,0,0,0,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Mass
20120831,"Old Bridge, NJ",,NJ,2012,2,0,2,1,Work,No,No,other,male,23,0,1,0,1,0,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,Shooter
20120827,"Baltimore, MD",,MD,2012,0,1,1,0,School,Yes,Yes,white,male,15,1,0,0,0,1,0,1,0,1,0,1,1,0,0,None,None,None,None,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,Shooter
20120805,"Oak Creek, Wisconsin",,WI,2012,7,3,10,0.69999999,Religious,Yes,Yes,white,Male,40,1,1,0,0,0,1,0,0,1,0,0,1,0,0,None,None,None,None,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,Mass
20120720,"Aurora, Colorado",,CO,2012,12,58,70,0.1714,Other,Yes,Yes,white,Male,24,1,2,0,1,1,0,0,0,1,0,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,1,0,1,1,2,1,Mass
20120717,"Tuscaloosa, AL",,AL,2012,0,18,18,0,Work,Yes,Yes,white,male,44,1,0,0,1,0,0,0,1,1,0,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Shooter
20120530,"Seattle, WA",,WA,2012,5,0,5,1,Work,Yes,Yes,white,male,40,1,2,0,0,1,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,Mass
20120406,"Tulsa, OK",,OK,2012,3,2,5,0.6,Work,Yes,Yes,white,male,32,1,2,0,0,0,0,0,1,1,0,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Spree
20120402,"Oakland, California",,CA,2012,7,3,10,0.69999999,School,Yes,Yes,Asian,Male,43,1,1,0,0,0,0,1,0,1,1,1,1,1,1,Zoloft,Depression,On,2 weeks,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Mass
20120323,"Durham, NC",,NC,2012,2,2,4,0.5,Work,No,Yes,white,male,24,1,1,0,0,1,0,0,1,0,0,0,1,0,0,None,None,None,None,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,Shooter
