State,year,zip
SC,1997,29801
CT,1998,6111
OR,1998,97478
CO,1999,80123
GA,1999,30305
TX,1999,76133
FL,1999,33607
MA,2000,1880
IL,2001,60160
IL,2003,60616
OH,2004,43229
WI,2005,53005
WA,2006,98112
NE,2007,68114
CO,2007,80004
IL,2008,60115
MO,2008,63122
WA,2008,98226
NC,2009,28327
WA,2009,98444
FL,2010,33010
CT,2010,6042
AZ,2011,85704
OH,2011,44321
NV,2011,89701
GA,2012,30071
WA,2012,98105
CO,2012,80012
WI,2012,53154
MN,2012,55405
CT,2012,6482
NY,2013,13407
CA,2013,90404
FL,2013,33012
DC,2013,20003
CA,2014,96101
CA,2014,93117
WA,2014,98270
SC,2015,29401
WI,2015,54952
CO,2015,80903
OR,2015,97470
CO,2015,80907
CA,2015,92408
MI,2016,49083
KS,2016,67062
FL,2016,32806
TX,2016,75202
WA,2016,98233
